辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),語彙素ID
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,上回る,上回る,ウワマワル,動詞-一般,五段-ラ行,連体形-一般,ウワマワル,ウワマワル,和,上回る,ウワマワル,3561
,I,賃上げ,賃上げ,チンアゲ,名詞-普通名詞-サ変可能,,,チンアゲ,チンアゲ,混,賃上げ,チンアゲ,24251
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,必要,必要,ヒツヨウ,名詞-普通名詞-形状詞可能,,,ヒツヨー,ヒツヨウ,漢,必要,ヒツヨウ,31473
,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス,25653
,I,が,が,ガ,助詞-接続助詞,,,ガ,ガ,和,が,ガ,7888
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,それ,其れ,ソレ,代名詞,,,ソレ,ソレ,和,それ,ソレ,21461
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,事業,事業,ジギョウ,名詞-普通名詞-一般,,,ジギョー,ジギョウ,漢,事業,ジギョウ,17803
,I,者,者,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,丸投げ,丸投げ,マルナゲ,名詞-普通名詞-サ変可能,,,マルナゲ,マルナゲ,和,丸投げ,マルナゲ,87600
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,しまっ,仕舞う,シマウ,動詞-非自立可能,五段-ワア行,連用形-促音便,シマッ,シマッ,和,しまう,シマウ,15738
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,事業,事業,ジギョウ,名詞-普通名詞-一般,,,ジギョー,ジギョウ,漢,事業,ジギョウ,17803
,I,者,者,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,経営,経営,ケイエイ,名詞-普通名詞-サ変可能,,,ケーエー,ケイエイ,漢,経営,ケイエイ,10896
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,苦しく,苦しい,クルシイ,形容詞-一般,形容詞,連用形-一般,クルシク,クルシク,和,苦しい,クルシイ,10523
,I,なる,成る,ナル,動詞-非自立可能,五段-ラ行,連体形-一般,ナル,ナル,和,なる,ナル,28061
,I,だけ,だけ,ダケ,助詞-副助詞,,,ダケ,ダケ,和,だけ,ダケ,23122
,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス,25653
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,継続,継続,ケイゾク,名詞-普通名詞-サ変可能,,,ケーゾク,ケイゾク,漢,継続,ケイゾク,11000
,I,的,的,テキ,接尾辞-形状詞的,,,テキ,テキ,漢,的,テキ,25076
,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
,I,賃上げ,賃上げ,チンアゲ,名詞-普通名詞-サ変可能,,,チンアゲ,チンアゲ,混,賃上げ,チンアゲ,24251
,I,できる,出来る,デキル,動詞-非自立可能,上一段-カ行,連体形-一般,デキル,デキル,和,できる,デキル,25624
,I,環境,環境,カンキョウ,名詞-普通名詞-一般,,,カンキョー,カンキョウ,漢,環境,カンキョウ,7531
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,整える,整える,トトノエル,動詞-一般,下一段-ア行,連体形-一般,トトノエル,トトノエル,和,整える,トトノエル,26508
,I,こと,事,コト,名詞-普通名詞-一般,,,コト,コト,和,こと,コト,12836
,I,こそ,こそ,コソ,助詞-係助詞,,,コソ,コソ,和,こそ,コソ,12738
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,政府,政府,セイフ,名詞-普通名詞-一般,,,セーフ,セイフ,漢,政府,セイフ,19974
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,役割,役割,ヤクワリ,名詞-普通名詞-一般,,,ヤクワリ,ヤクワリ,混,役割,ヤクワリ,38212
,I,です,です,デス,助動詞,助動詞-デス,終止形-一般,デス,デス,和,です,デス,25653
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,しかし,然し,シカシ,接続詞,,,シカシ,シカシ,和,しかし,シカシ,15066
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,実質,実質,ジッシツ,名詞-普通名詞-一般,,,ジッシツ,ジッシツ,漢,実質,ジッシツ,17941
,I,賃金,賃金,チンギン,名詞-普通名詞-一般,,,チンギン,チンギン,漢,賃金,チンギン,24257
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,継続,継続,ケイゾク,名詞-普通名詞-サ変可能,,,ケーゾク,ケイゾク,漢,継続,ケイゾク,11000
,I,的,的,テキ,接尾辞-形状詞的,,,テキ,テキ,漢,的,テキ,25076
,I,上昇,上昇,ジョウショウ,名詞-普通名詞-サ変可能,,,ジョーショー,ジョウショウ,漢,上昇,ジョウショウ,18542
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,定着,定着,テイチャク,名詞-普通名詞-サ変可能,,,テーチャク,テイチャク,漢,定着,テイチャク,25025
,I,する,為る,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
,I,まで,まで,マデ,助詞-副助詞,,,マデ,マデ,和,まで,マデ,35891
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,一定,一定,イッテイ,名詞-普通名詞-サ変形状詞可能,,,イッテー,イッテイ,漢,一定,イッテイ,2242
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,時間,時間,ジカン,名詞-普通名詞-助数詞可能,,,ジカン,ジカン,漢,時間,ジカン,17768
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,要し,要する,ヨウスル,動詞-一般,サ行変格,連用形-一般,ヨーシ,ヨウシ,混,要する,ヨウスル,39100
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,また,又,マタ,接続詞,,,マタ,マタ,和,また,マタ,35734
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,米国,米国,ベイコク,名詞-固有名詞-地名-国,,,ベーコク,ベイコク,固,米国,ベイコク,34111
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,関税,関税,カンゼイ,名詞-普通名詞-一般,,,カンゼー,カンゼイ,漢,関税,カンゼイ,7682
,I,措置,措置,ソチ,名詞-普通名詞-サ変可能,,,ソチ,ソチ,漢,措置,ソチ,21327
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,影響,影響,エイキョウ,名詞-普通名詞-サ変可能,,,エーキョー,エイキョウ,漢,影響,エイキョウ,3645
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,受ける,受ける,ウケル,動詞-一般,下一段-カ行,連体形-一般,ウケル,ウケル,和,受ける,ウケル,3089
,I,事業,事業,ジギョウ,名詞-普通名詞-一般,,,ジギョー,ジギョウ,漢,事業,ジギョウ,17803
,I,者,者,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
,I,へ,へ,ヘ,助詞-格助詞,,,エ,ヘ,和,へ,ヘ,33819
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,対応,対応,タイオウ,名詞-普通名詞-サ変可能,,,タイオー,タイオウ,漢,対応,タイオウ,21679
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,経営,経営,ケイエイ,名詞-普通名詞-サ変可能,,,ケーエー,ケイエイ,漢,経営,ケイエイ,10896
,I,難,難,ナン,名詞-普通名詞-一般,,,ナン,ナン,漢,難,ナン,28088
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,深刻,深刻,シンコク,形状詞-一般,,,シンコク,シンコク,漢,深刻,シンコク,17330
,I,化,化,カ,接尾辞-名詞的-サ変可能,,,カ,カ,漢,化,カ,5577
,I,する,為る,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
,I,医療,医療,イリョウ,名詞-普通名詞-一般,,,イリョー,イリョウ,漢,医療,イリョウ,2580
,I,機関,機関,キカン,名詞-普通名詞-一般,,,キカン,キカン,漢,機関,キカン,8330
,I,や,や,ヤ,助詞-副助詞,,,ヤ,ヤ,和,や,ヤ,38083
,I,介護,介護,カイゴ,名詞-普通名詞-サ変可能,,,カイゴ,カイゴ,漢,介護,カイゴ,5718
,I,施設,施設,シセツ,名詞-普通名詞-サ変可能,,,シセツ,シセツ,漢,施設,シセツ,15374
,I,へ,へ,ヘ,助詞-格助詞,,,エ,ヘ,和,へ,ヘ,33819
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,支援,支援,シエン,名詞-普通名詞-サ変可能,,,シエン,シエン,漢,支援,シエン,15014
,I,など,など,ナド,助詞-副助詞,,,ナド,ナド,和,など,ナド,27905
,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,急,急,キュウ,名詞-普通名詞-形状詞可能,,,キュー,キュウ,漢,急,キュウ,8932
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,要し,要する,ヨウスル,動詞-一般,サ行変格,連用形-一般,ヨーシ,ヨウシ,混,要する,ヨウスル,39100
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I, 　,　,,空白,,,,,記号,　,,23
,I,既に,既に,スデニ,副詞,,,スデニ,スデニ,和,既に,スデニ,19286
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,経済,経済,ケイザイ,名詞-普通名詞-一般,,,ケーザイ,ケイザイ,漢,経済,ケイザイ,10945
,I,対策,対策,タイサク,名詞-普通名詞-一般,,,タイサク,タイサク,漢,対策,タイサク,21763
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,策定,策定,サクテイ,名詞-普通名詞-サ変可能,,,サクテー,サクテイ,漢,策定,サクテイ,14024
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,着手,着手,チャクシュ,名詞-普通名詞-サ変可能,,,チャクシュ,チャクシュ,漢,着手,チャクシュ,23651
,I,する,為る,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
,I,よう,様,ヨウ,形状詞-助動詞語幹,,,ヨー,ヨウ,漢,よう,ヨウ,39002
,I,指示,指示,シジ,名詞-普通名詞-サ変可能,,,シジ,シジ,漢,指示,シジ,15309
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,行い,行う,オコナウ,動詞-一般,五段-ワア行,連用形-一般,オコナイ,オコナイ,和,行う,オコナウ,4875
,I,まし,ます,マス,助動詞,助動詞-マス,連用形-一般,マシ,マシ,和,ます,マス,35697
,I,た,た,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,野党,野党,ヤトウ,名詞-普通名詞-一般,,,ヤトー,ヤトウ,漢,野党,ヤトウ,38354
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,皆,皆,ミナ,名詞-普通名詞-副詞可能,,,ミナ,ミナ,和,皆,ミナ,36678
,I,様,様,サマ,接尾辞-名詞的-一般,,,サマ,サマ,和,様,サマ,14374
,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,真摯,真摯,シンシ,形状詞-一般,,,シンシ,シンシ,漢,真摯,シンシ,17346
,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
,I,対話,対話,タイワ,名詞-普通名詞-サ変可能,,,タイワ,タイワ,漢,対話,タイワ,21966
,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
,I,合意,合意,ゴウイ,名詞-普通名詞-サ変可能,,,ゴーイ,ゴウイ,漢,合意,ゴウイ,13349
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,積み重ね,積み重ねる,ツミカサネル,動詞-一般,下一段-ナ行,連用形-一般,ツミカサネ,ツミカサネ,和,積み重ねる,ツミカサネル,24752
,I,ながら,ながら,ナガラ,助詞-接続助詞,,,ナガラ,ナガラ,和,ながら,ナガラ,27743
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,速やか,速やか,スミヤカ,形状詞-一般,,,スミヤカ,スミヤカ,和,速やか,スミヤカ,19472
,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
,I,対策,対策,タイサク,名詞-普通名詞-一般,,,タイサク,タイサク,漢,対策,タイサク,21763
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,取りまとめ,取り纏める,トリマトメル,動詞-一般,下一段-マ行,連用形-一般,トリマトメ,トリマトメ,和,取りまとめる,トリマトメル,26839
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,必要,必要,ヒツヨウ,名詞-普通名詞-形状詞可能,,,ヒツヨー,ヒツヨウ,漢,必要,ヒツヨウ,31473
,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
,I,補正,補正,ホセイ,名詞-普通名詞-サ変可能,,,ホセー,ホセイ,漢,補正,ホセイ,34696
,I,予算,予算,ヨサン,名詞-普通名詞-一般,,,ヨサン,ヨサン,漢,予算,ヨサン,39262
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,国会,国会,コッカイ,名詞-普通名詞-一般,,,コッカイ,コッカイ,漢,国会,コッカイ,12783
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,提出,提出,テイシュツ,名詞-普通名詞-サ変可能,,,テーシュツ,テイシュツ,漢,提出,テイシュツ,24983
,I,いたし,致す,イタス,動詞-非自立可能,五段-サ行,連用形-一般,イタシ,イタシ,和,いたす,イタス,2004
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,国民,国民,コクミン,名詞-普通名詞-一般,,,コクミン,コクミン,漢,国民,コクミン,12579
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,皆,皆,ミナ,名詞-普通名詞-副詞可能,,,ミナ,ミナ,和,皆,ミナ,36678
,I,様,様,サマ,接尾辞-名詞的-一般,,,サマ,サマ,和,様,サマ,14374
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,暮らし,暮らし,クラシ,名詞-普通名詞-一般,,,クラシ,クラシ,和,暮らし,クラシ,10426
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,守る,守る,マモル,動詞-一般,五段-ラ行,連体形-一般,マモル,マモル,和,守る,マモル,36011
,I,経済,経済,ケイザイ,名詞-普通名詞-一般,,,ケーザイ,ケイザイ,漢,経済,ケイザイ,10945
,I,対策,対策,タイサク,名詞-普通名詞-一般,,,タイサク,タイサク,漢,対策,タイサク,21763
,I,・,・,,補助記号-一般,,,,・,記号,・,,44
,I,補正,補正,ホセイ,名詞-普通名詞-サ変可能,,,ホセー,ホセイ,漢,補正,ホセイ,34696
,I,予算,予算,ヨサン,名詞-普通名詞-一般,,,ヨサン,ヨサン,漢,予算,ヨサン,39262
,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
,I,なる,成る,ナル,動詞-非自立可能,五段-ラ行,連体形-一般,ナル,ナル,和,なる,ナル,28061
,I,よう,様,ヨウ,形状詞-助動詞語幹,,,ヨー,ヨウ,漢,よう,ヨウ,39002
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,与野党,与野党,ヨヤトウ,名詞-普通名詞-一般,,,ヨヤトー,ヨヤトウ,漢,与野党,ヨヤトウ,39497
,I,で,で,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
,I,知恵,知恵,チエ,名詞-普通名詞-一般,,,チエ,チエ,漢,知恵,チエ,23419
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,結集,結集,ケッシュウ,名詞-普通名詞-サ変可能,,,ケッシュー,ケッシュウ,漢,結集,ケッシュウ,11142
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,ましょう,ます,マス,助動詞,助動詞-マス,意志推量形,マショー,マショウ,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,自由,自由,ジユウ,名詞-普通名詞-形状詞可能,,,ジユー,ジユウ,漢,自由,ジユウ,18456
,I,民主,民主,ミンシュ,名詞-普通名詞-一般,,,ミンシュ,ミンシュ,漢,民主,ミンシュ,36952
,I,党,党,トウ,接尾辞-名詞的-一般,,,トー,トウ,漢,党,トウ,25857
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,この,此の,コノ,連体詞,,,コノ,コノ,和,この,コノ,12905
,I,夏,夏,ナツ,名詞-普通名詞-副詞可能,,,ナツ,ナツ,和,夏,ナツ,27874
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,参議,参議,サンギ,名詞-普通名詞-一般,,,サンギ,サンギ,漢,参議,サンギ,14543
,I,院,院,イン,接尾辞-名詞的-一般,,,イン,イン,漢,院,イン,2709
,I,議員,議員,ギイン,名詞-普通名詞-一般,,,ギイン,ギイン,漢,議員,ギイン,9762
,I,選挙,選挙,センキョ,名詞-普通名詞-サ変可能,,,センキョ,センキョ,漢,選挙,センキョ,20416
,I,で,で,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
,I,公約,公約,コウヤク,名詞-普通名詞-サ変可能,,,コーヤク,コウヤク,漢,公約,コウヤク,12400
,I,と,と,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,掲げ,掲げる,カカゲル,動詞-一般,下一段-ガ行,連用形-一般,カカゲ,カカゲ,和,掲げる,カカゲル,6004
,I,た,た,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
,I,給付,給付,キュウフ,名詞-普通名詞-サ変可能,,,キューフ,キュウフ,漢,給付,キュウフ,9076
,I,金,金,キン,接尾辞-名詞的-一般,,,キン,キン,漢,金,キン,9605
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,つい,つく,ツク,動詞-一般,五段-カ行,連用形-イ音便,ツイ,ツイ,和,つく,ツク,24536
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,国民,国民,コクミン,名詞-普通名詞-一般,,,コクミン,コクミン,漢,国民,コクミン,12579
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,皆,皆,ミナ,名詞-普通名詞-副詞可能,,,ミナ,ミナ,和,皆,ミナ,36678
,I,様,様,サマ,接尾辞-名詞的-一般,,,サマ,サマ,和,様,サマ,14374
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,御,御,ゴ,接頭辞,,,ゴ,ゴ,漢,御,ゴ,13332
,I,理解,理解,リカイ,名詞-普通名詞-サ変可能,,,リカイ,リカイ,漢,理解,リカイ,39891
,I,が,が,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
,I,得,得る,エル,動詞-非自立可能,下一段-ア行,未然形-一般,エ,エ,和,得る,エル,4108
,I,られ,られる,ラレル,助動詞,助動詞-レル,未然形-一般,ラレ,ラレ,和,られる,ラレル,39787
,I,なかっ,ない,ナイ,助動詞,助動詞-ナイ,連用形-促音便,ナカッ,ナカッ,和,ない,ナイ,27438
,I,た,た,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
,I,こと,事,コト,名詞-普通名詞-一般,,,コト,コト,和,こと,コト,12836
,I,から,から,カラ,助詞-格助詞,,,カラ,カラ,和,から,カラ,7219
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,実施,実施,ジッシ,名詞-普通名詞-サ変可能,,,ジッシ,ジッシ,漢,実施,ジッシ,17940
,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
,I,ませ,ます,マス,助動詞,助動詞-マス,未然形-一般,マセ,マセ,和,ます,マス,35697
,I,ん,ず,ズ,助動詞,助動詞-ヌ,終止形-撥音便,ン,ン,和,ぬ,ヌ,19587
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,I,むしろ,寧ろ,ムシロ,副詞,,,ムシロ,ムシロ,和,むしろ,ムシロ,37111
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,物価,物価,ブッカ,名詞-普通名詞-一般,,,ブッカ,ブッカ,漢,物価,ブッカ,33365
,I,高,高,ダカ,接尾辞-名詞的-一般,,,ダカ,ダカ,和,高,ダカ,23103
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,関する,関する,カンスル,動詞-一般,サ行変格,連体形-一般,カンスル,カンスル,混,関する,カンスル,7663
,I,国民,国民,コクミン,名詞-普通名詞-一般,,,コクミン,コクミン,漢,国民,コクミン,12579
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,皆,皆,ミナ,名詞-普通名詞-副詞可能,,,ミナ,ミナ,和,皆,ミナ,36678
,I,様,様,サマ,接尾辞-名詞的-一般,,,サマ,サマ,和,様,サマ,14374
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,御,御,ゴ,接頭辞,,,ゴ,ゴ,漢,御,ゴ,13332
,I,懸念,懸念,ケネン,名詞-普通名詞-サ変可能,,,ケネン,ケネン,漢,懸念,ケネン,11208
,I,一,一,ヒト,名詞-数詞,,,ヒト,ヒト,和,一,ヒト,31499
,I,つ,つ,ツ,接尾辞-名詞的-助数詞,,,ツ,ツ,和,つ,ツ,24322
,I,一,一,ヒト,名詞-数詞,,,ヒト,ヒト,和,一,ヒト,31499
,I,つ,つ,ツ,接尾辞-名詞的-助数詞,,,ツ,ツ,和,つ,ツ,24322
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,丁寧,丁寧,テイネイ,形状詞-一般,,,テーネー,テイネイ,漢,丁寧,テイネイ,25036
,I,に,だ,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
,I,対策,対策,タイサク,名詞-普通名詞-一般,,,タイサク,タイサク,漢,対策,タイサク,21763
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,とっ,取る,トル,動詞-一般,五段-ラ行,連用形-促音便,トッ,トッ,和,とる,トル,26854
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,いき,行く,イク,動詞-非自立可能,五段-カ行,連用形-一般,イキ,イキ,和,いく,イク,1713
,I,ます,ます,マス,助動詞,助動詞-マス,終止形-一般,マス,マス,和,ます,マス,35697
,I,。,。,,補助記号-句点,,,,,記号,。,,25
,B,　,　,,空白,,,,,記号,　,,23
,I,まず,先ず,マズ,副詞,,,マズ,マズ,和,まず,マズ,35721
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,いわゆる,所謂,イワユル,連体詞,,,イワユル,イワユル,和,いわゆる,イワユル,2694
,I,ガソリン,ガソリン-gasoline,ガソリン,名詞-普通名詞-一般,,,ガソリン,ガソリン,外,ガソリン,ガソリン,8068
,I,税,税,ゼイ,名詞-普通名詞-一般,,,ゼー,ゼイ,漢,税,ゼイ,20694
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,暫定,暫定,ザンテイ,名詞-普通名詞-一般,,,ザンテー,ザンテイ,漢,暫定,ザンテイ,14907
,I,税率,税率,ゼイリツ,名詞-普通名詞-一般,,,ゼーリツ,ゼイリツ,漢,税率,ゼイリツ,20710
,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
,I,つい,つく,ツク,動詞-一般,五段-カ行,連用形-イ音便,ツイ,ツイ,和,つく,ツク,24536
,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,各党,各党,カクトウ,名詞-普通名詞-一般,,,カクトー,カクトウ,漢,各党,カクトウ,6210
,I,間,間,カン,接尾辞-名詞的-副詞可能,,,カン,カン,漢,間,カン,7477
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,議論,議論,ギロン,名詞-普通名詞-サ変可能,,,ギロン,ギロン,漢,議論,ギロン,9967
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,踏まえ,踏まえる,フマエル,動詞-一般,下一段-ア行,連用形-一般,フマエ,フマエ,和,踏まえる,フマエル,32991
,I,、,、,,補助記号-読点,,,,,記号,、,,24
,I,今,今,コン,接頭辞,,,コン,コン,漢,今,コン,13139
,I,国会,国会,コッカイ,名詞-普通名詞-一般,,,コッカイ,コッカイ,漢,国会,コッカイ,12783
,I,で,で,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,廃止,廃止,ハイシ,名詞-普通名詞-サ変可能,,,ハイシ,ハイシ,漢,廃止,ハイシ,29391
,I,法,法,ホウ,名詞-普通名詞-一般,,,ホー,ホウ,漢,法,ホウ,34380
,I,案,案,アン,名詞-普通名詞-一般,,,アン,アン,漢,案,アン,1321
,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
,I,成立,成立,セイリツ,名詞-普通名詞-サ変可能,,,セーリツ,セイリツ,漢,成立,セイリツ,20026
,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
,I,期し,期する,キスル,動詞-一般,サ行変格,連用形-一般,キシ,キシ,混,期する,キスル,8541
